song, artist, length, language
BIRDS OF A FEATHER, Billie Eilish, 3:30, English
Espresso, Sabrina Carpenter, 2:55, English
Not Like Us, Kendrick Lamar, 4:34, English
Si Antes Te Hubiera Conocido, KAROL G, 3:16, Spanish
HOT TO GO!, Chappel Roan, 3:05, English 
Ik Wil Dansen, Froukje, 3:14, Dutch 
